,POS,PLAYER,TOT,THRU,R1,R2,R3,R4,FEDEXCUP PTS
117,CUT,R. Moore,+5,-,74,73,-,-,116
118,CUT,V. Norrman,+5,-,71,76,-,-,59
119,CUT,M. McGreevy,+6,-,75,73,-,-,99
120,CUT,M. Hubbard,+6,-,70,78,-,-,233
121,CUT,C. Hammer,+6,-,76,72,-,-,-
122,CUT,A. Núñez,+6,-,77,71,-,-,79
123,CUT,J. Holmes,+6,-,74,74,-,-,7
124,CUT,H. Hall,+6,-,75,73,-,-,182
125,CUT,Car. Young,+6,-,75,73,-,-,123
126,CUT,G. Koch,+7,-,79,70,-,-,-
127,CUT,B. Wu,+7,-,75,74,-,-,442
128,CUT,L. Donald,+7,-,77,72,-,-,29
129,CUT,B. Taylor,+7,-,79,70,-,-,500
130,CUT,N. Echavarria,+8,-,75,75,-,-,388
131,CUT,B. Matthews,+8,-,76,74,-,-,29
132,CUT,M. Laird,+8,-,79,71,-,-,131
133,CUT,R. Knox,+8,-,77,73,-,-,165
134,CUT,K. Westmoreland,+8,-,73,77,-,-,72
135,CUT,M. Trainer,+9,-,75,76,-,-,46
136,CUT,H. Higgs,+9,-,70,81,-,-,170
137,CUT,M. Schwab,+9,-,76,75,-,-,106
138,CUT,A. Cook,+9,-,75,76,-,-,91
139,CUT,Z. Johnson,+10,-,74,78,-,-,107
140,CUT,M. Schmid,+10,-,72,80,-,-,108
141,CUT,P. Knade,+10,-,79,73,-,-,-
142,CUT,W. Bryan,+12,-,77,77,-,-,60
143,CUT,A. Chiarella,+16,-,80,78,-,-,-
